Year,Citations Per Year,APT,Rank,ga_gender
2020,13.5,0.25,27,female
2020,9,0.75,197,male
2020,0.5,0.05,1920,male
2020,4,0.5,792,male
2020,8.5,0.95,545,female
2020,0.5,0.05,2279,male
2020,18,0.75,0,male
2020,3,0.75,0,female
2020,2,0.05,6114,unknown
2020,15.5,0.95,73,male
2020,3.5,0.5,1776,male
2020,0,0.05,0,female
2020,2,0.05,2216,female
2020,5,0.75,227,male
2020,2,0.25,7187,male
2020,2.5,0.5,562,male
2020,156.5,0.95,3258,male
2020,4,0.25,1247,female
2020,0.5,0.25,1839,female
2020,1,0.05,1920,male
2020,4,0.75,1840,female
2020,3.5,0.05,195,unknown
2020,14,0.25,211,male
2020,4,0.05,933,male
2020,16,0.95,650,female
2020,0.5,0.25,3665,male
2020,1,0.05,571,male
2020,3.5,0.05,988,female
2020,0.5,0.25,1000,female
2020,0,0.05,3642,male
2020,1.5,0.25,4211,male
2020,24.5,0.95,2655,male
2020,5,0.25,545,female
2020,1,0.25,5790,male
2020,6.5,0.05,482,female
2020,0.5,0.25,1319,female
2020,6.5,0.25,379,female
2020,0.5,0.25,3130,male
2020,3,0.75,2204,male
2020,0.5,0.25,5828,male
2020,3.5,0.5,1481,female
2020,1.5,0.5,1063,female
2020,0.5,0.5,0,female
2020,0.5,0.05,13193,male
2020,0,0.05,1778,male
2020,5.5,0.95,643,female
2020,5.5,0.75,642,unknown
2020,5,0.95,875,female
2020,17.5,0.75,134,male
2020,4,0.05,840,male
2020,2,0.5,2384,male
2020,20.5,0.5,173,male
2020,3,0.05,3287,female
2020,0,0.05,5207,male
2020,11.5,0.05,242,male
2020,0,0.05,27899,male
2020,0,0.05,4451,male
2020,1,0.05,1778,male
2020,8,0.05,574,female
2020,4,0.75,377,male
2020,9,0.75,881,male
2020,0.5,0.05,5042,male
2020,3.5,0.25,298,male
2020,26.5,0.75,299,male
2020,3.5,0.05,242,male
2020,15,0.75,0,female
2020,0.5,0.05,1953,female
2020,3.5,0.75,11474,male
2020,0.5,0.5,4108,male
2020,2.5,0.05,2138,male
2020,1.5,0.25,720,male
2020,1.5,0.05,4080,male
2020,1.5,0.05,4571,male
2020,4,0.05,3804,female
2020,1.5,0.25,6112,male
2020,12,0.25,881,male
2020,3.5,0.75,1965,male
2020,0,0.05,4415,male
2020,1,0.05,0,female
2020,0.5,0.05,3913,male
2020,7,0.25,299,male
2020,10,0.05,49,male
2020,3,0.5,673,female
2020,2,0.5,6146,male
2020,6,0.75,545,male
2020,6.5,0.75,313,male
2020,0.5,0.25,2588,male
2020,3.5,0.5,673,female
2020,3.5,0.25,287,female
2020,6,0.75,643,male
2020,8,0.05,213,male
2020,0.5,0.05,2138,male
2020,1.5,0.05,0,female
2020,1,0.05,4914,male
2020,2,0.05,2261,male
2020,0,0.05,1551,male
2020,1.5,0.05,299,male
2020,4.5,0.25,267,female
2020,0,0.05,7187,
2020,4.5,0.05,507,male
2020,0.5,0.25,2588,male
2020,2,0.5,916,female
2020,1,0.05,1776,male
2020,0,0.05,2767,
2020,0,0.05,0,male
2020,2.5,0.25,1071,female
2020,5,0.5,134,male
2020,1,0.05,788,male
2020,7.5,0.75,277,male
2020,1,0.5,0,unknown
2020,1,0.25,181,male
2020,5,0.5,299,male
2020,0,0.05,0,male
2020,2,0.25,2377,male
2020,1.5,0.05,1914,male
2020,3.5,0.75,1606,female
2020,1,0.25,249,female
2020,5.5,0.5,724,male
2020,1,0.25,1265,male
2020,6,0.5,0,male
2020,1.5,0.25,3022,male
2020,13.5,0.95,313,male
2020,17.5,0.75,351,male
2020,8,0.25,287,female
2020,6,0.25,242,male
2020,1,0.05,0,female
2020,3,0.75,562,male
2020,2,0.75,3166,male
2020,6.5,0.5,811,male
2020,2.5,0.05,3130,male
2020,3.5,0.75,134,male
2020,4.5,0.75,562,female
2020,1.5,0.5,4434,female
2020,0,0.05,0,male
2020,4,0.75,1776,male
2020,0.5,0.05,134,male
2020,1.5,0.25,0,female
2020,1,0.25,1031,female
2020,1,0.5,2138,male
2020,0.5,0.05,4962,female
2020,1.5,0.05,23150,male
2020,0.5,0.05,6114,male
2020,5.5,0.75,5639,male
2020,2,0.05,2807,male
2020,0.5,0.05,6114,unknown
2020,1,0.05,4990,male
2020,1,0.25,4189,male
2020,0,0.05,16380,female
2020,1.5,0.25,16380,male
2020,0.5,0.05,0,male
2020,0,0.05,0,male
2020,2.5,0.25,0,male
2020,0.5,0.25,0,female
2020,2,0.75,6112,male
2020,4,0.5,4698,male
2020,0,0.05,1376,male
2020,2,0.5,2377,male
2020,3,0.75,4631,male
2020,0.5,0.25,4631,male
2020,4,0.05,1153,female
2020,10,0.95,1002,female
2020,2,0.5,6599,unknown
2020,6,0.95,1881,female
2020,2.5,0.75,2377,male
2020,0.5,0.25,1371,female
2020,0.5,0.05,4415,female
2020,7,0.75,4330,
2020,4,0.75,0,male
2020,13.5,0.95,787,male
2020,0.5,0.25,2786,female
2020,3,0.75,3096,female
2020,10,0.95,1866,male
2020,1,0.25,2198,female
2020,1,0.25,19704,female
2020,3,0.05,960,female
2020,1,0.5,810,male
2020,3.5,0.75,10176,female
2020,5.5,0.5,1385,male
2020,2,0.05,3642,male
2020,8.5,0.95,6094,male
2020,4.5,0.75,1048,male
2020,1,0.05,1541,male
2020,3.5,0.75,2068,female
2020,6.5,0.95,669,female
2020,5.5,0.75,2658,female
2020,9.5,0.95,603,male
2020,3,0.05,11208,female
2020,8.5,0.95,823,female
2020,8,0.5,299,female
2020,0,0.05,518,male
2020,3,0.05,2426,male
2020,5,0.05,650,female
2020,4,0.75,421,female
2020,1,0.5,4602,female
2020,11.5,0.95,134,
2020,5,0.75,5207,male
2020,4.5,0.95,484,female
2020,1,0.5,0,male
2020,10.5,0.75,299,male
2020,2.5,0.05,2216,male
2020,6.5,0.95,650,male
2020,20,0.5,299,male
2020,7.5,0.95,1319,male
2020,6.5,0.75,3022,male
2020,1,0.25,5543,female
2020,0.5,0.05,4313,female
2020,4,0.75,2907,female
2020,6.5,0.75,1025,female
2020,5,0.75,275,male
2020,1.5,0.5,0,female
2020,0,0.05,3623,male
2020,12,0.95,351,unknown
2020,1.5,0.5,1320,male
2020,23,0.25,299,male
2020,2.5,0.5,1965,female
2020,3,0.05,1778,male
2020,2,0.5,716,unknown
